1,1943,10,1,14.1
2,1943,10,2,16.4
3,1943,10,3,16.3
4,1943,10,4,22.7
5,1943,10,5,19.8
6,1943,10,6,14.4
7,1943,10,7,15.2
8,1943,10,8,15.3
9,1943,10,9,13.4
10,1943,10,10,17.7
11,1943,10,11,13.9
12,1943,10,12,13.8
13,1943,10,13,14.5
14,1943,10,14,16.1
15,1943,10,15,15.4
16,1943,10,16,20.1
17,1943,10,17,21.1
18,1943,10,18,20.8
19,1943,10,19,17.8
20,1943,10,20,16.2
21,1943,10,21,17.9
22,1943,10,22,18.3
23,1943,10,23,19.8
24,1943,10,24,16.8
25,1943,10,25,16.7
26,1943,10,26,14
27,1943,10,27,15.1
28,1943,10,28,17.2
29,1943,10,29,26.2
30,1943,10,30,23.6
31,1943,10,31,17.3
32,1943,11,1,18.4
33,1943,11,2,17.7
34,1943,11,3,27.8
35,1943,11,4,20.1
36,1943,11,5,16.1
37,1943,11,6,19.6
38,1943,11,7,14.4
39,1943,11,8,14.6
40,1943,11,9,17.5
41,1943,11,10,13.8
42,1943,11,11,16.2
43,1943,11,12,22.1
44,1943,11,13,22.2
45,1943,11,14,23.8
46,1943,11,15,23.2
47,1943,11,16,30.2
48,1943,11,17,31.6
49,1943,11,18,16.9
50,1943,11,19,17.3
51,1943,11,20,16.8
52,1943,11,21,18.2
53,1943,11,22,20.6
54,1943,11,23,19.6
55,1943,11,24,18.2
56,1943,11,25,17.9
57,1943,11,26,23.3
58,1943,11,27,29
59,1943,11,28,17.8
60,1943,11,29,21.3
61,1943,11,30,17.9
62,1943,12,1,19.9
63,1943,12,2,21.9
64,1943,12,3,24.4
65,1943,12,4,15.8
66,1943,12,5,18.3
67,1943,12,6,22.8
68,1943,12,7,18.4
69,1943,12,8,21.7
70,1943,12,9,18.6
71,1943,12,10,23.2
72,1943,12,11,24.3
73,1943,12,12,22.2
74,1943,12,13,21.7
75,1943,12,14,18.4
76,1943,12,15,18.3
77,1943,12,16,17.8
78,1943,12,17,16.6
79,1943,12,18,21.4
80,1943,12,19,21.1
81,1943,12,20,20.3
82,1943,12,21,23.9
83,1943,12,22,32.5
84,1943,12,23,19.7
85,1943,12,24,24.5
86,1943,12,25,22.9
87,1943,12,26,21.1
88,1943,12,27,22.8
89,1943,12,28,18.4
90,1943,12,29,19.8
91,1943,12,30,28.8
92,1943,12,31,39.2
